Found shorter combination to 9 20 with  
Found shorter combination to 41 15 with  
Found shorter combination to 108 20 with  
Found shorter combination to 111 20 with 3 
Found shorter combination to 62 55 with 3 
Found shorter combination to 62 60 with 3 
Found shorter combination to 65 60 with 34 
Found shorter combination to 138 40 with 34 
Found shorter combination to 235 20 with 34 
Found shorter combination to 238 35 with 34C 
Found shorter combination to 247 30 with 34C 
Found shorter combination to 40 60 with 34C 
Found shorter combination to 43 60 with 34C3 
Found shorter combination to 126 15 with 34C3 
Found shorter combination to 133 20 with 34C3 
Found shorter combination to 136 20 with 34C3_ 
Found shorter combination to 12 65 with 34C3_ 
Found shorter combination to 167 20 with 34C3_ 
Found shorter combination to 170 10 with 34C3_A 
Found shorter combination to 69 15 with 34C3_A 
Found shorter combination to 97 60 with 34C3_A 
Found shorter combination to 170 15 with 34C3_B 
Found shorter combination to 253 5 with 34C3_B 
Found shorter combination to 94 20 with 34C3_B 
Found shorter combination to 170 35 with 34C3_C 
Found shorter combination to 41 70 with 34C3_C 
Found shorter combination to 49 20 with 34C3_C 
Found shorter combination to 253 10 with 34C3_D 
Found shorter combination to 60 60 with 34C3_D 
Found shorter combination to 41 60 with 34C3_E 
Found shorter combination to 87 20 with 34C3_E 
Found shorter combination to 170 0 with 34C3_F 
Found shorter combination to 164 5 with 34C3_F 
Found shorter combination to 223 20 with 34C3_F 
Found shorter combination to 253 20 with 34C3_G 
Found shorter combination to 159 60 with 34C3_G 
Found shorter combination to 164 0 with 34C3_H 
Found shorter combination to 174 20 with 34C3_H 
Found shorter combination to 170 5 with 34C3_I 
Found shorter combination to 86 50 with 34C3_I 
Found shorter combination to 206 60 with 34C3_I 
Found shorter combination to 69 0 with 34C3_J 
Found shorter combination to 216 60 with 34C3_J 
Found shorter combination to 170 30 with 34C3_K 
Found shorter combination to 153 20 with 34C3_K 
Found shorter combination to 68 60 with 34C3_K 
Found shorter combination to 153 30 with 34C3_L 
Found shorter combination to 96 20 with 34C3_L 
Found shorter combination to 253 15 with 34C3_M 
Found shorter combination to 225 60 with 34C3_M 
Found shorter combination to 86 65 with 34C3_N 
Found shorter combination to 176 20 with 34C3_N 
Found shorter combination to 41 55 with 34C3_O 
Found shorter combination to 143 20 with 34C3_O 
Found shorter combination to 41 50 with 34C3_P 
Found shorter combination to 214 60 with 34C3_P 
Found shorter combination to 170 25 with 34C3_Q 
Found shorter combination to 67 25 with 34C3_Q 
Found shorter combination to 244 20 with 34C3_Q 
Found shorter combination to 153 0 with 34C3_R 
Found shorter combination to 35 60 with 34C3_R 
Found shorter combination to 164 30 with 34C3_S 
Found shorter combination to 50 20 with 34C3_S 
Found shorter combination to 41 40 with 34C3_T 
Found shorter combination to 215 60 with 34C3_T 
Found shorter combination to 153 5 with 34C3_U 
Found shorter combination to 91 60 with 34C3_U 
Found shorter combination to 253 35 with 34C3_V 
Found shorter combination to 242 60 with 34C3_V 
Found shorter combination to 86 75 with 34C3_W 
Found shorter combination to 121 60 with 34C3_W 
Found shorter combination to 69 5 with 34C3_X 
Found shorter combination to 147 60 with 34C3_X 
Found shorter combination to 69 35 with 34C3_Y 
Found shorter combination to 255 20 with 34C3_Y 
